,,,,,,
Htno,Subcode,Subname,Internals,Grade,Credits,
20B21A4631,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,16,D,3,
20B21A4631,R203146C,COMPILER DESIGN,19,F,0,
20B21A4632,R203146C,COMPILER DESIGN,22,F,0,
20B21A4632,R203147C,WEB TECHNOLOGIES,21,F,0,
20B21A4638,R2031461,COMPUTER NETWORKS,16,E,3,
20B21A4638,R2031462,SOFTWARE ENGINEERING,18,F,0,
20B21A4638,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,18,D,3,
20B21A4638,R203146C,COMPILER DESIGN,19,F,0,
20B21A4638,R203147C,WEB TECHNOLOGIES,16,F,0,
20B21A4639,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,15,D,3,
20B21A4639,R203146C,COMPILER DESIGN,18,E,3,
20B21A4640,R2031462,SOFTWARE ENGINEERING,25,D,3,
20B21A4644,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,23,E,3,
20B21A4644,R203146C,COMPILER DESIGN,21,F,0,
20B21A4644,R203147C,WEB TECHNOLOGIES,22,F,0,
20B21A4648,R2031461,COMPUTER NETWORKS,20,E,3,
20B21A4650,R2031461,COMPUTER NETWORKS,20,E,3,
20B21A4650,R2031462,SOFTWARE ENGINEERING,20,F,0,
20B21A4650,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,21,F,0,
20B21A4650,R203146C,COMPILER DESIGN,18,ABSENT,0,
20B21A4655,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,21,ABSENT,0,
20B21A4655,R203146C,COMPILER DESIGN,18,F,0,
20B21A4657,R2031462,SOFTWARE ENGINEERING,22,D,3,
20B21A4657,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,19,ABSENT,0,
20B21A4657,R203146C,COMPILER DESIGN,22,D,3,
20B21A4657,R203147C,WEB TECHNOLOGIES,22,ABSENT,0,
20B21A4663,R2031462,SOFTWARE ENGINEERING,20,F,0,
20B21A4663,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,20,C,3,
20B21A4663,R203146C,COMPILER DESIGN,17,F,0,
20B21A4663,R203147C,WEB TECHNOLOGIES,21,F,0,
20B21A4664,R203146C,COMPILER DESIGN,19,F,0,
20B21A4665,R203146C,COMPILER DESIGN,15,F,0,
20B21A4666,R203146C,COMPILER DESIGN,21,F,0,
20B21A4667,R203146C,COMPILER DESIGN,20,F,0,
20B21A4667,R203147C,WEB TECHNOLOGIES,20,F,0,
20B21A4668,R2031462,SOFTWARE ENGINEERING,18,ABSENT,0,
20B21A4668,R203146C,COMPILER DESIGN,19,ABSENT,0,
20B21A4668,R203147C,WEB TECHNOLOGIES,19,ABSENT,0,
20B21A4671,R2031462,SOFTWARE ENGINEERING,22,F,0,
20B21A4671,R203146C,COMPILER DESIGN,21,F,0,
20B21A4672,R2031462,SOFTWARE ENGINEERING,20,D,3,
20B21A4672,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,21,D,3,
20B21A4676,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,21,D,3,
20B21A4676,R203146C,COMPILER DESIGN,17,F,0,
20B21A4676,R203147C,WEB TECHNOLOGIES,22,E,3,
20B21A4679,R2031462,SOFTWARE ENGINEERING,22,D,3,
20B21A4679,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,23,E,3,
20B21A4681,R2031462,SOFTWARE ENGINEERING,20,F,0,
20B21A4681,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,19,ABSENT,0,
20B21A4681,R203147C,WEB TECHNOLOGIES,19,F,0,
20B21A4684,R2031461,COMPUTER NETWORKS,17,F,0,
20B21A4684,R2031462,SOFTWARE ENGINEERING,20,F,0,
20B21A4684,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,20,F,0,
20B21A4684,R203146C,COMPILER DESIGN,20,F,0,
20B21A4684,R203147C,WEB TECHNOLOGIES,17,F,0,
20B21A4685,R203147C,WEB TECHNOLOGIES,22,F,0,
20B21A4686,R2031461,COMPUTER NETWORKS,23,D,3,
20B21A4686,R2031467,SUMMER INTERNSHIP 2 MONTHS (MANDATORY) A,0,A+,1.5,
20B21A4686,R203146C,COMPILER DESIGN,20,F,0,
20B21A4691,R2031461,COMPUTER NETWORKS,16,F,0,
20B21A4691,R2031462,SOFTWARE ENGINEERING,16,F,0,
20B21A4691,R2031463,DESIGN AND ANALYSIS OF ALGORITHMS,17,F,0,
20B21A4691,R203146C,COMPILER DESIGN,16,F,0,
20B21A4691,R203147C,WEB TECHNOLOGIES,17,F,0,
20B21A4692,R2031461,COMPUTER NETWORKS,20,D,3,
20B25A0115,R1931011,STRUCTURAL ANALYSIS,15,F,0,
20B25A0208,R1931021,POWER SYSTEMS-II,16,D,3,
20B25A0208,R1931023,LINEAR IC APPLICATIONS,14,F,0,
20B25A0208,R1931024,DIGITAL SIGNAL PROCESSING,13,F,0,
20B25A0211,R1931023,LINEAR IC APPLICATIONS,17,D,3,
20B25A0214,R1931023,LINEAR IC APPLICATIONS,15,D,3,
20B25A0302,R1931031,DYNAMICS OF MACHINERY,14,F,0,
20B25A0302,R1931032,DESIGN OF MACHINE MEMBERS-II,12,F,0,
20B25A0302,R1931033,MECHANICAL MEASUREMENTS & METROLOGY,10,D,3,
20B25A0302,R1931034,MANAGERIAL ECONOMICS AND FINANCIAL ACCOU,10,D,3,
20B25A0403,R1931043,DIGITAL COMMUNICATIONS,13,F,0,
20B25A0403,R193104D,SOFT COMPUTING TECHNIQUES AND PYTHON PRO,16,D,3,
